tool	downsample_percentage	ground_truth_percentile	median_rel_diff_annotated	median_rel_diff_all	mean_rel_diff_annotated	mean_rel_diff_all
FLAIR	10	81	0.539464196852641	0.5574111696051695	0.9191252704779853	0.9714295176433525
FLAIR	10	84	0.5545647116897567	0.6154024116756628	0.9601263592992318	1.0206344970686612
FLAIR	10	87	0.5641066137897732	0.6410088999640682	1.033188866345734	1.0864437383321655
FLAIR	10	90	0.8420513065096937	1.01241195034603	1.1409398608037224	1.1825656556606303
FLAIR	10	93	2.0	2.0	1.3098767001645426	1.336979081273507
FLAIR	10	99	2.0	2.0	1.4417785912556262	1.4674934820642693
FLAIR	20	0	2.0	2.0	1.9133768063235128	1.9249045257577282
FLAIR	20	3	2.0	2.0	1.9215523158669852	1.929089182626968
FLAIR	20	6	2.0	2.0	1.9106485334669312	1.9241148928729823
FLAIR	20	9	2.0	2.0	1.78719329803865	1.8193977018378173
FLAIR	20	12	2.0	2.0	1.7090625891820115	1.7541500550796865
FLAIR	20	15	2.0	2.0	1.577795950809079	1.6400177322251681
FLAIR	20	18	2.0	2.0	1.501993814679803	1.5762906812170283
FLAIR	20	21	2.0	2.0	1.3788242728160072	1.4529460360577007
FLAIR	20	24	2.0	2.0	1.3930280839824285	1.4967915826278446
FLAIR	20	27	1.425576556799157	2.0	1.250132423207372	1.3740314829901898
FLAIR	20	30	1.1307857105571348	2.0	1.204609361573853	1.3166601412097958
FLAIR	20	33	0.9176269228591138	1.4952419169778834	1.1394811600688928	1.253303587870634
FLAIR	20	36	0.9158671513087681	1.4070622951575524	1.117199005956771	1.238366332299581
FLAIR	20	39	0.8166573316624539	1.174143593361337	1.0633052923455542	1.1879391283885103
FLAIR	20	42	0.8794972017536581	1.170827235065	1.0876769504687769	1.1971226433046231
FLAIR	20	45	0.7308306973575386	0.8713083495583037	0.9854715063912387	1.0923707965685552
FLAIR	20	48	0.7308306973575367	0.9093169236895704	0.9892723419307419	1.1117391524545615
FLAIR	20	51	0.7114992045519857	0.8398108517180447	0.9613813264483889	1.0647316891371164
FLAIR	20	54	0.7048240334761897	0.877307091234155	0.9741622331196896	1.0828086024018666
FLAIR	20	57	0.6009206883621458	0.7320548695563064	0.87586752711699	1.0107066663906012
FLAIR	20	60	0.568255298766613	0.6960868171958646	0.875056050344041	1.0147887471506665
FLAIR	20	63	0.5855925146520844	0.6577053327326954	0.875580308433433	0.9831585102499228
FLAIR	20	66	0.5441213134273668	0.646848234168535	0.8475946082000669	0.9755445771575497
FLAIR	20	69	0.5154515790997661	0.5742074787699428	0.7910091873967879	0.9204511629064911
FLAIR	20	72	0.5534600312000615	0.6126851250801886	0.861994308575483	0.9623350413093746
FLAIR	20	75	0.5066103685011077	0.5589604980625477	0.8077278027217505	0.9442845304659638
FLAIR	20	78	0.5315638525847532	0.6016653275898471	0.8782469446336221	0.9958360362814734
FLAIR	20	81	0.5300684648012262	0.5750638565356498	0.9239699972931745	1.0119716491251722
FLAIR	20	84	0.527180856838326	0.6245688604841851	0.9320146863100182	1.0389646361890028
FLAIR	20	87	0.539600401264636	0.6992119143069597	1.0064905842736087	1.093467441835804
FLAIR	20	90	0.8518649130609467	1.2289528368652893	1.1420900948918842	1.2090602665656403
FLAIR	20	93	2.0	2.0	1.3075748903696802	1.361842435505611
FLAIR	20	99	2.0	2.0	1.4154192454927341	1.468271987545192
FLAIR	30	0	2.0	2.0	1.9171107300133163	1.9305586023547079
FLAIR	30	3	2.0	2.0	1.9180751399414435	1.9343998413363814
FLAIR	30	6	2.0	2.0	1.9084346789282927	1.927049718148613
FLAIR	30	9	2.0	2.0	1.7828423128086268	1.8238912540325978
FLAIR	30	12	2.0	2.0	1.711370968082301	1.776146013707363
FLAIR	30	15	2.0	2.0	1.5898422927622526	1.6634003938760835
FLAIR	30	18	2.0	2.0	1.5024077153079483	1.61008948137353
FLAIR	30	21	2.0	2.0	1.3644220761609103	1.5133426585431315
FLAIR	30	24	2.0	2.0	1.3725517042388213	1.5165747367192368
FLAIR	30	27	1.4011627141683647	2.0	1.261095021089891	1.4354336260721643
FLAIR	30	30	1.106615542503829	2.0	1.2048321458224835	1.4084489921637255
FLAIR	30	33	1.1755746864939247	2.0	1.1896949434956383	1.3519453891632667
FLAIR	30	36	0.9295800609214319	1.807890303055535	1.124565854759961	1.288949009450634
FLAIR	30	39	0.7936535837000309	1.4730432536676963	1.039243022674513	1.2531516088707673
FLAIR	30	42	0.8460444378003865	1.5727876967717536	1.0746485860728467	1.2672010745479214
FLAIR	30	45	0.7029630160240739	1.1053740441168909	0.9845662644196123	1.1758222040663227
FLAIR	30	48	0.7241882684877339	1.0723336998836186	0.9809696644151736	1.1808406699011362
